"description","category","subcategory","merchant","amount","is_expense"
"Kuku choma","Financial Expenses","Credit Card Annual Fees","Micro Enterprises Support Programme Trust",784.71,1
"Nyumba ya October","Housing & Home Expenses","Rent","Rafiki Roofing Mabati",515.98,1
"Gym membership","Health & Fitness","Fitness Classes","Heartfulness",486.38,1
"Safari booking","Travel & Vacation","Tours & Excursions","Go Kenya Tours and Safaris",253.52,1
"Project Management Exam","Education & Learning","Professional Certifications","Gretsa University",582.32,1
"KRA payment","Financial Expenses","Taxes","Caritas Microfinance Bank",906.02,1
"Shamba tools","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Legal Fees",87.38,1
"Nyumba loan","Housing & Home Expenses","Mortgage Payments","GA Insurance Limited",660.59,1
"KRA payment","Financial Expenses","Taxes","Consolidated Bank of Kenya",849.35,1
"Chess set","Leisure & Entertainment","Board Games & Puzzles","Sound Creations LTD",780.97,1
"Rides wristband","Leisure & Entertainment","Amusement Parks & Arcade","Awalient Entertainment Ltd",184.41,1
"File appeal case","Legal & Professional Services","Court Fees","Mediation & Arbitration Centre Kenya",172.29,1
"Tyre puncture repair","Transportation","Car Maintenance & Repairs","KBS (Kenya Bus Service)",617.83,1
"Boss man salary","Income & Earnings","Salary & Wages","Freelance Income",879.77,1
"Chips and chicken","Business & Work Expenses","Client Meals & Entertainment","Microsoft Office 365 Kenya",95.7,1
"Post za Insta","Business & Work Expenses","Advertising & Marketing","Hootsuite Kenya",464.97,1
"Childrens Clothing & Shoes purchase","Childcare & Parenting","Children's Clothing & Shoes","MP Shah Hospital Pediatrics",184.19,1
"Kizz Daniel tix","Leisure & Entertainment","Concerts & Live Events","C-GEN PIX CREATIVES",738.21,1
"Billboard advert","Business & Work Expenses","Advertising & Marketing","Hootsuite Kenya",236.19,1
"Passport application fees","Travel & Vacation","Visa & Passport Fees","Bon Voyage Safaris",377.22,1
"Comprehensive cover instalment","Financial Expenses","Insurance Premiums","Gulf African Bank",155.83,1
"Mama mboga","Gifts & Donations","Tips & Gratuities","Plan International Kenya",412.61,1
"Bima monthly","Financial Expenses","Insurance Premiums","NCBA Bank Kenya",625.29,1
"Airtime bundle","Leisure & Entertainment","Video Games & Online Gaming","Truth FM Kenya",276.2,1
"Manukato ya rose","Personal Care & Grooming","Perfumes & Fragrances","Bandari Beauty",697.49,1
"Kitenge Ankara","Shopping","Clothing & Accessories","Kikuyu Mall",318.3,1
"Counseling session","Health & Fitness","Mental Health Therapy","Karen Hospital",772.34,1
"Kitanda mpya","Shopping","Home Decor & Furnishings","Ruiru Mall",847.02,1
"ATM withdrawal fee","Financial Expenses","Bank Fees","Cellulant",232.65,1
"Church harambee tinga","Gifts & Donations","Fundraisers & Contributions","Chandaria Foundation",719.58,1
"Kids school fees","Childcare & Parenting","Daycare & Preschool Fees","Postnatal & Parenting Counseling Kenya",876.67,1
"Acrylics refill madam","Personal Care & Grooming","Manicure & Pedicure","Pauline Cosmetics",472.45,1
"Business permit renewed","Legal & Professional Services","Licensing & Permits","KPMG Kenya Professional Services",961.65,1
"Kids Toys & Games purchase","Childcare & Parenting","Kids' Toys & Games","Cradle Care Kenya",367.49,1
"Paracetamol na panadol","Health & Fitness","Over-the-Counter Medicines","Pharmart",503.42,1
"Kitanda mpya","Shopping","Home Decor & Furnishings","Kisumu West End Mall",84.3,1
"Full body massage","Health & Fitness","Wellness & Spa Treatments","Kenya Bodybuilding",167.01,1
"Kiswahili class","Education & Learning","Workshops & Seminars","Decagon Kenya",868.54,1
"Dog food","Pets & Animal Care","Pet Toys & Accessories","Horse Breeding & Training Kenya",656.82,1
"Revision Guides","Education & Learning","Educational Subscriptions","Delight International School",446.86,1
"Chips funga","Food & Dining","Takeout & Delivery","The Edge Beach Restaurant",494.99,1
"Eldoret return flight","Travel & Vacation","Flights","Tembo Tours and Safaris",30.72,1
"Nyumba loan","Housing & Home Expenses","Mortgage Payments","Odds and Ends Furniture",792.46,1
"Kachumbari and Ugali","Business & Work Expenses","Client Meals & Entertainment","Monday.com Kenya",257.47,1
"Matatu fare","Housing & Home Expenses","Moving & Relocation","Rafiki Roofing Mabati",871.41,1
"Pens na vitabu","Shopping","Books & Stationery","Nextgen Mall",940.35,1
"Drinks pale","Food & Dining","Bars & Nightclubs","Hemmingways Watamu Restaurant",772.57,1
"KRA filing","Legal & Professional Services","Tax Preparation Services","Crowe Erastus & Co. Kenya",670.01,1
"Land dispute fees","Legal & Professional Services","Lawyer Fees","Employment & Labor Dispute Lawyers Kenya",181.33,1
"Bundles zangu","Utilities","Mobile Phone Bills","Kenya Pipeline Company (KPC)",286.17,1
"Mama Mboga","Gifts & Donations","Tips & Gratuities","Gift of Hope Foundation",119.14,1
"Tyre puncture repair","Transportation","Car Maintenance & Repairs","Swan Carriers Ltd.",79.01,1
"Dog dewormer","Pets & Animal Care","Pet Medications","Little Friends Animal Shelter",176.83,1
"Shave Simba","Pets & Animal Care","Grooming & Pet Spa Services","Nairobi Vet Centre",210.47,1
"Nyumba loan","Housing & Home Expenses","Mortgage Payments","Kenindia Assurance Company",944.75,1
"Matatu fare","Housing & Home Expenses","Moving & Relocation","Bestcare Services Kenya",361.47,1
"Aroma therapy session","Health & Fitness","Wellness & Spa Treatments","Tamarind Group",429.07,1
"Wellness session","Health & Fitness","Mental Health Therapy","Orthopedic and Trauma Institute",315.92,1
"Gym membership","Health & Fitness","Fitness Classes","Tenwek Hospital",563.87,1
"KCPE Registration","Education & Learning","Test Preparation & Exams Fees","Zetech University",802.55,1
"Nyumba loan","Housing & Home Expenses","Mortgage Payments","Ultimate Security Ltd",166.0,1
"Loan repayment","Financial Expenses","Credit Card Annual Fees","Paramount Bank",782.43,1
"Mama mboga","Gifts & Donations","Tips & Gratuities","Big Brother Foundation Kenya",947.57,1
"Flights purchase","Travel & Vacation","Flights","Origins Safaris",652.88,1
"Salon tinga","Personal Care & Grooming","Haircuts & Barber Services","Natural Glam Kenya",220.23,1
"Maji safi leo","Utilities","Water","Kenya Nuclear Electricity Board",987.36,1
"Beaded bracelet","Shopping","Jewelry & Watches","Zara",736.46,1
"Movie subscription","Leisure & Entertainment","Streaming Services","Truth FM Kenya",480.28,1
"Safari game drive","Travel & Vacation","Tours & Excursions","Kisampa Bush Retreat",159.0,1
"Paracetamol and Panadol","Health & Fitness","Over-the-Counter Medicines","Viva Fitness Center",951.39,1
"Bundle ya data","Utilities","Internet Service","DStv",67.74,1
"Team sales incentive","Income & Earnings","Bonuses & Commissions","Lottery Winnings",34.88,1
"Title deed verified","Legal & Professional Services","Notary Services","Personal Injury & Accident Lawyers Kenya",811.84,1
"Safari cover","Travel & Vacation","Travel Insurance","WildTrek Safaris",865.78,1
"Driving permit renewal","Transportation","Vehicle Registration & Licensing","Toyota Kenya Ltd.",782.8,1
"Domain renewal fees","Business & Work Expenses","Website Hosting & Domains","Kenya National Innovation Agency",781.44,1
"Sadaka church","Gifts & Donations","Religious Donations","Children's Garden Home Kenya",410.54,1
"Chai na mandazi","Travel & Vacation","Hotels & Lodging","Topcats Safaris Ltd",357.68,1
"Mama Mboga","Gifts & Donations","Personal Gifts","Médecins Sans Frontières (Doctors Without Borders)",155.42,1
"Dental Care purchase","Health & Fitness","Dental Care","Platinum Physiotherapy Centre",410.34,1
"Frames replacement","Health & Fitness","Vision Care","Nairobi Sports House",923.15,1
"Usafi SACCO shares","Legal & Professional Services","Financial Advisors","Makhecha & Gitonga Advocates",468.7,1
"Corolla hire","Travel & Vacation","Car Rentals","Wildlife Safari Exploreans",490.19,1
"Harambee Stars ticket","Leisure & Entertainment","Sporting Events","Radio Africa Group",579.07,1
"Dog food","Pets & Animal Care","Pet Toys & Accessories","Ol Pejeta Animal Sanctuary",789.1,1
"Dawa ya kienyeji","Health & Fitness","Alternative Medicine","Jaramogi Oginga Odinga Teaching & Referral Hospital",195.14,1
"Uni fees","Education & Learning","Tuition Fees","The Banda School",890.76,1
"Passport application fee","Travel & Vacation","Visa & Passport Fees","Kenya Wildlife Trails",85.31,1
"Passport application fee","Travel & Vacation","Visa & Passport Fees","Kibo Slopes Safaris",978.03,1
"Curtains za bedroom","Shopping","Home Decor & Furnishings","Marsabit Plaza",613.65,1
"Shule ada","Education & Learning","Educational Subscriptions","Sheikh Khalifa Bin Zayed Secondary School",695.89,1
"cough syrup","Health & Fitness","Over-the-Counter Medicines","Pharmacy",150.0,1
"Nyumba chwani","Housing & Home Expenses","Mortgage Payments","Rentokil Initial Kenya",646.96,1
"Sacco contribution","Financial Expenses","Retirement Savings","Jamii Bora Bank",653.84,1
"Masala chai","Food & Dining","Cafés & Coffee Shops","The Dhow House",516.01,1
"Sukuma wiki","Food & Dining","Groceries","The Alchemist Bar",2618.46,1
"Investment Contributions purchase","Financial Expenses","Investment Contributions","Citibank N.A. Kenya",533.31,1
"Dawa ya malaria","Health & Fitness","Prescription Medications","VMX Fitness",402.41,1
"Mama mboga","Miscellaneous & Unexpected Expenses","Emergency Expenses","Overdraft Fees",83.18,1
"Second ear piercing","Personal Care & Grooming","Tattoos & Piercings","Indulge Kenya",478.47,1
"Vet checkup kitty","Pets & Animal Care","Veterinary Bills & Pet Insurance","WildlifeDirect Kenya",923.16,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Kenya Ferry Services",608.14,1
"Mbwa safi kabisa","Pets & Animal Care","Grooming & Pet Spa Services","Professional Pet Photography Kenya",55.37,1
"Kikoi ya Pwani","Travel & Vacation","Souvenirs & Gifts from Travel","Go Kenya Tours and Safaris",412.33,1
"Pilau masala","Food & Dining","Specialty Foods","Kizingo Lodge Restaurant",308.68,1
"Data Science course","Education & Learning","Online Courses","Nairobi International School",839.76,1
"Football club fee","Childcare & Parenting","Extracurricular Activities","Little Angels Playgroup",984.36,1
"Football club fees","Childcare & Parenting","Extracurricular Activities","Kids Outdoor Play Centers Nairobi",603.02,1
"Chai leo","Income & Earnings","Rental Income","Lottery Winnings",878.38,1
"Toy car set","Childcare & Parenting","Kids' Toys & Games","The Toy Store Kenya",144.47,1
"Dog vaccines clinic","Pets & Animal Care","Veterinary Bills & Pet Insurance","WildlifeDirect Kenya",764.19,1
"Title deed signed","Legal & Professional Services","Notary Services","Insurance Regulatory Authority (IRA) Kenya",559.98,1
"Title deed stamp","Legal & Professional Services","Notary Services","Njeri Kariuki Advocates",180.23,1
"Gym Memberships purchase","Health & Fitness","Gym Memberships","Platinum Physiotherapy Centre",168.05,1
"Dawa ya kienyeji","Health & Fitness","Alternative Medicine","Amref Health Africa",328.69,1
"Kitenge material","Income & Earnings","Gifts Received","Land Leasing",20.85,1
"Sadaka ya kanisa","Gifts & Donations","Religious Donations","Nyumbani Children's Home",937.44,1
"Case filing fee","Legal & Professional Services","Court Fees","eCitizen Kenya Legal Portal",994.5,1
"Sufuria Mpya","Housing & Home Expenses","Moving & Relocation","Milana Bora Services Limited",507.09,1
"Church harambee cash","Gifts & Donations","Fundraisers & Contributions","Kenya Community Development Foundation (KCDF)",820.46,1
"Kutoa meno","Health & Fitness","Dental Care","Orthopedic and Trauma Institute",963.01,1
"Comprehensive cover","Financial Expenses","Insurance Premiums","Kenya Development Corporation",344.18,1
"Orphanage school fees","Gifts & Donations","Charitable Donations","Bethsaida Children's Centre",388.35,1
"Vet checkup paka","Pets & Animal Care","Veterinary Bills & Pet Insurance","Fur & Feathers Kenya",455.25,1
"Matatu fare","Business & Work Expenses","Client Meals & Entertainment","PesaPal",746.39,1
"Muziki Premium app","Business & Work Expenses","Software & SaaS Subscriptions","Microsoft Office 365 Kenya",423.51,1
"Gym membership","Shopping","Sports & Outdoor Equipment","Carrefour",702.2,1
"Form 3 fees","Childcare & Parenting","School Fees & Tuition","Pediatric Clinics in Nairobi",99.87,1
"Shamba rental","Income & Earnings","Rental Income","Pension & Retirement",178.74,1
"Billboard placement","Business & Work Expenses","Advertising & Marketing","Jumia Pay",526.87,1
"Loan Repayments purchase","Financial Expenses","Loan Repayments","Youth Enterprise Development Fund",819.9,1
"Mbwa salon","Pets & Animal Care","Grooming & Pet Spa Services","The Pet Boutique Kenya",264.58,1
"School shoes tosha","Childcare & Parenting","Children's Clothing & Shoes","Peponi House Preparatory School",505.22,1
"Passport application fees","Travel & Vacation","Visa & Passport Fees","Twiga Tours",588.56,1
"School fees drive","Gifts & Donations","Fundraisers & Contributions","WE Charity Kenya",310.25,1
"Safaricom airtime topup","Travel & Vacation","Hotels & Lodging","Acacia Safaris (K) Ltd",160.16,1
"Umeme token leo","Utilities","Electricity","DStv",581.58,1
"Paka vet check","Pets & Animal Care","Veterinary Bills & Pet Insurance","Pet Microchipping & ID Tags Kenya",725.64,1
"Aromatherapy session","Personal Care & Grooming","Spas & Massages","Luxe Beauty Kenya",384.71,1
"Land case consultation","Legal & Professional Services","Lawyer Fees","Blockchain & Fintech Legal Advisory Kenya",44.12,1
"Sacco dividends","Income & Earnings","Investment Income","Refunds",399.42,1
"Bundles za simu","Utilities","Mobile Phone Bills","Internet Solutions Kenya",456.73,1
"Landlords rent","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Overdraft Fees",868.21,1
"Annual card renewal","Financial Expenses","Credit Card Annual Fees","National Bank of Kenya",906.11,1
"Speeding Kamiti road","Miscellaneous & Unexpected Expenses","Fines & Penalties","Repairs",817.88,1
"Mathare Youth soccer","Childcare & Parenting","Extracurricular Activities","Cherry Kids Daycare",763.56,1
"Maji safi delivery","Utilities","Water","Grundfos Kenya",724.22,1
"Photo editing job","Income & Earnings","Side Hustle Earnings","Land Leasing",334.75,1
"Rose attar","Personal Care & Grooming","Perfumes & Fragrances","Paks Cosmetics Kenya",396.0,1
"Chemistry textbook","Education & Learning","Books & Educational Materials","Teachers Service Commission (TSC)",604.14,1
"Gari ya haraka","Travel & Vacation","Car Rentals","Kisima Tours & Safaris",72.49,1
"Shoshs fare","Childcare & Parenting","Babysitting & Nanny Services","Baby Love Store",726.42,1
"Matatu license renewal","Legal & Professional Services","Licensing & Permits","Kilimani Associate Advocates",87.7,1
"Vitabu shuleni","Leisure & Entertainment","Books & Magazines","Prestige Cinema",134.43,1
"Football club fees","Childcare & Parenting","Extracurricular Activities","Smart Baby Kenya",410.29,1
"Sukuma wiki","Food & Dining","Groceries","Garoda Resort Restaurant",7311.76,1
"Case filing fee","Legal & Professional Services","Court Fees","Human Rights & Public Interest Lawyers Kenya",796.62,1
"Land sale papers","Legal & Professional Services","Notary Services","Contract Drafting & Review Kenya",437.19,1
"pedicure","Personal Care & Grooming","Manicure & Pedicure","Beauty Salon",500.0,1
"Dog food","Pets & Animal Care","Pet Food & Treats","ABC Animal Hospital",11.02,1
"Kitenge material","Shopping","Clothing & Accessories","Kisumu West End Mall",875.96,1
"Chai na mandazi","Travel & Vacation","Hotels & Lodging","Ker & Downey Safaris",644.99,1
"Legal consultation fee","Business & Work Expenses","Professional Services","Family Bank SME Solutions",148.33,1
"Extracurricular Activities purchase","Childcare & Parenting","Extracurricular Activities","Mothers Support Groups Kenya",481.19,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Mackenzie Maritime (EA) Limited",419.94,1
"Bundle ya data","Leisure & Entertainment","Video Games & Online Gaming","Family Radio 316",959.03,1
"Fundi training","Education & Learning","Workshops & Seminars","Bridge International Academies",94.09,1
"Shika membership","Health & Fitness","Gym Memberships","St. Scholastica Uzima Hospital",727.67,1
"Banners za biashara","Business & Work Expenses","Advertising & Marketing","Regus",26.89,1
"Fade ya leo","Personal Care & Grooming","Haircuts & Barber Services","MAC Cosmetics Kenya",338.9,1
"Shamba rent","Income & Earnings","Rental Income","Land Leasing",472.45,1
"Flights Nairobi-Kisumu","Transportation","Airfare & Flights","Liftcargo Limited",441.07,1
"Chips funga","Business & Work Expenses","Client Meals & Entertainment","DHL Express Kenya",783.52,1
"Fundis Jiko","Income & Earnings","Refunds & Rebates","Lottery Winnings",790.03,1
"HELB installment","Education & Learning","Student Loans Repayment","Africa Nazarene University",380.74,1
"Kitenge material","Gifts & Donations","Wedding & Birthday Gifts","Mission for Essential Drugs and Supplies (MEDS)",642.32,1
"Kilimo Biashara Seminar","Education & Learning","Workshops & Seminars","Egerton University",662.95,1
"Fundi wa simu","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",659.89,1
"Paracetamol na dawa","Health & Fitness","Over-the-Counter Medicines","Nairobi Equator Hospital",343.68,1
"Gor Mahia tix","Leisure & Entertainment","Sporting Events","Kenya Broadcasting Corporation",698.76,1
"Investment Contributions purchase","Financial Expenses","Investment Contributions","Jamii Bora Bank",190.75,1
"pedicure","Personal Care & Grooming","Manicure & Pedicure","Beauty Salon",500.0,1
"Maasai shuka","Shopping","Clothing & Accessories","Kiambu Mall",750.69,1
"Stapler refills","Business & Work Expenses","Office Supplies","Sage Accounting Kenya",619.4,1
"Kuja consultation","Legal & Professional Services","Financial Advisors","Legal Compliance Training Kenya",328.2,1
"Chips funga","Food & Dining","Fast Food","Kobe Suite Resort Restaurant",1926.77,1
"Land case retainer","Legal & Professional Services","Lawyer Fees","LJA Associates Advocates",794.27,1
"KRA filing","Legal & Professional Services","Tax Preparation Services","Mboya Wangong’u & Waiyaki Advocates",587.56,1
"Umeme token","Utilities","Electricity","Geothermal Development Company (GDC)",683.54,1
"Maji safi","Utilities","Water","Liquid Telecom Kenya",558.29,1
"Title transfer docs","Legal & Professional Services","Notary Services","Mediation & Arbitration Centre Kenya",151.74,1
"Tax return filing","Legal & Professional Services","Tax Preparation Services","Bowmans Kenya",449.71,1
"Wakanda Forever","Leisure & Entertainment","Movie Tickets","Goethe-Institut Kenya",417.56,1
"Motorbike cover","Financial Expenses","Insurance Premiums","Family Bank",579.89,1
"Sacco dividends","Income & Earnings","Investment Income","Passive Income",627.16,1
"Madarasa notebooks","Education & Learning","Books & Educational Materials","GEMS Cambridge International School",815.7,1
"Mama Mboga","Gifts & Donations","Personal Gifts","Children's Garden Home Kenya",594.93,1
"Shylock instalment","Financial Expenses","Loan Repayments","Equity Bank",264.23,1
"Gel nails","Personal Care & Grooming","Salons & Beauty Treatments","The Body Shop",512.33,1
"Nyumba loan","Housing & Home Expenses","Mortgage Payments","Victoria Courts",228.41,1
"M-Pesa charges","Financial Expenses","Bank Fees","Insurance Regulatory Authority",754.57,1
"Business permit fees","Legal & Professional Services","Licensing & Permits","Deloitte Kenya Legal & Tax Services",327.76,1
"Taka collection fee","Utilities","Waste Management & Recycling","Wananchi Group",899.89,1
"Zumba class","Health & Fitness","Fitness Classes","Karen Hospital",435.7,1
"Sabuni na mafuta","Personal Care & Grooming","Personal Hygiene Products","Dark and Lovely Kenya",835.13,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Jetlink Express Limited",954.28,1
"House rent","Housing & Home Expenses","Rent","Furniture Palace",968.91,1
"Dog food kilo","Pets & Animal Care","Pet Food & Treats","Puppy Adoption Kenya",921.69,1
"Gym monthly","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Overdraft Fees",187.46,1
"Cockroach fumigation done","Housing & Home Expenses","Pest Control","Arrow Pest Control and Fumigation Company",691.5,1
"DSTV Premium package","Utilities","Cable & Streaming Services","Liquid Telecom Kenya",955.15,1
"Aroma therapy massage","Health & Fitness","Wellness & Spa Treatments","Barizi Spa & Wellness Center",823.84,1
"tomatoes","Food & Dining","Groceries","Market",80.0,1
"Dawa ya paka","Pets & Animal Care","Pet Medications","Kitten & Pup Pet Store",717.85,1
"Dawa ya tumbo","Childcare & Parenting","Children's Health & Medical Care","Children's Activity Centers Kenya",292.26,1
"Baati za crochet","Leisure & Entertainment","Hobbies","Milele FM",306.96,1
"Fundi charges","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",300.58,1
"Data Science Course","Education & Learning","Online Courses","Ekitabu",378.34,1
"Safaricom airtime topup","Travel & Vacation","Hotels & Lodging","Kenya Safari Planners",708.74,1
"Samosas na chai","Business & Work Expenses","Business Travel Expenses","KRA iTax",853.57,1
"Kitenge fabric stash","Shopping","Hobby & Craft Supplies","Bungoma De La Plaza",582.51,1
"Vitabu shuleni","Leisure & Entertainment","Books & Magazines","XFM Kenya",285.45,1
"Salon dread retouch","Personal Care & Grooming","Haircuts & Barber Services","R&R Luxury",799.34,1
"ATM withdrawal charges","Financial Expenses","Bank Fees","Kenya Post Office Savings Bank",209.57,1
"Maji safi","Utilities","Water","Kenya Biogas Program",789.07,1
"Earphones mpya","Shopping","Electronics & Gadgets","Mountain Mall",691.33,1
"Jumia Food kit","Food & Dining","Meal Kits & Subscriptions","About Thyme Restaurant",578.07,1
"Bundle ya wiki","Utilities","Mobile Phone Bills","Faiba by Jamii Telecom",552.17,1
"Home Cleaning Services purchase","Housing & Home Expenses","Home Cleaning Services","Bestcare Services Kenya",288.48,1
"Late library books","Miscellaneous & Unexpected Expenses","Fines & Penalties","Overdraft Fees",319.02,1
"Gym monthly","Health & Fitness","Gym Memberships","Orthopedic and Trauma Institute",523.4,1
"Nganya stage","Transportation","Parking Fees","MOL Logistics Kenya",621.0,1
"Paracetamol and dettol","Health & Fitness","Over-the-Counter Medicines","Gertrude's Children's Hospital",437.56,1
"Title deed stamp","Legal & Professional Services","Notary Services","Kithinji Marete & Company Advocates",752.23,1
"Bodaboda fare","Miscellaneous & Unexpected Expenses","Emergency Expenses","Legal Fees",359.13,1
"Chips funga","Business & Work Expenses","Client Meals & Entertainment","Capital Markets Authority",550.6,1
"Uni fees","Education & Learning","Tuition Fees","Brookhouse International School",316.77,1
"Data science course","Education & Learning","Online Courses","Learn Africa",736.23,1
"Boda fare","Miscellaneous & Unexpected Expenses","Emergency Expenses","Overdraft Fees",435.1,1
"Pilau masala","Food & Dining","Specialty Foods","The Floating Bar",62.65,1
"Safaricom airtime topup","Business & Work Expenses","Business Travel Expenses","Kenya Export Promotion and Branding Agency",509.79,1
"Driving license renewal","Transportation","Vehicle Registration & Licensing","BasiGo Electric Buses",429.38,1
"Orphanage monthly contribution","Gifts & Donations","Charitable Donations","Plan International Kenya",681.09,1
"Full month salary","Income & Earnings","Salary & Wages","Lottery Winnings",424.32,1
"Lishe ya watoto","Health & Fitness","Supplements & Vitamins","St. Joseph's Mission Hospital",774.8,1
"Pet Toys & Accessories purchase","Pets & Animal Care","Pet Toys & Accessories","Safari Pet Store",620.68,1
"Dawa ya Paka","Pets & Animal Care","Pet Medications","Pet Essentials Kenya",948.9,1
"Football training fees","Childcare & Parenting","Extracurricular Activities","Cradle Care Kenya",950.19,1
"Nganya fare","Leisure & Entertainment","Theater & Performing Arts","Inooro FM",879.63,1
"Safaricom cover premium","Travel & Vacation","Travel Insurance","Savannah Woods Safaris",411.04,1
"Filing case","Legal & Professional Services","Court Fees","LJA Associates Advocates",567.16,1
"Full salary","Income & Earnings","Salary & Wages","Refunds",788.13,1
"Manicure pedicure","Personal Care & Grooming","Salons & Beauty Treatments","Salon Solutions Kenya",943.36,1
"Clinic checkup","Health & Fitness","Medical Bills","Avenue Healthcare",225.61,1
"Wristwatch repair","Shopping","Jewelry & Watches","Waterfront Karen",229.69,1
"Toy car","Shopping","Toys & Games","Prestige Plaza",522.35,1
"Billboard space rental","Business & Work Expenses","Advertising & Marketing","Mailchimp Kenya",165.11,1
"Kidogo school fees","Childcare & Parenting","Daycare & Preschool Fees","Breastfeeding & Nursing Supplies Kenya",24.22,1
"Chama contribution","Income & Earnings","Side Hustle Earnings","Gifts Received",620.53,1
"Kahawa salary","Income & Earnings","Salary & Wages","Pension & Retirement",322.1,1
"pedicure","Personal Care & Grooming","Manicure & Pedicure","Beauty Salon",500.0,1
"Form 1 fees","Childcare & Parenting","School Fees & Tuition","Montessori Learning Centre Nairobi",90.45,1
"Pilau Kit","Food & Dining","Meal Kits & Subscriptions","Yejoka Garden",870.74,1
"Paracetamol na panadol","Health & Fitness","Over-the-Counter Medicines","Ndalo Heritage",252.19,1
"Form 1 fees","Childcare & Parenting","School Fees & Tuition","Gertrude’s Children's Hospital",34.91,1
"Bundles za game","Leisure & Entertainment","Video Games & Online Gaming","K24 TV",692.04,1
"Domain renewal fee","Business & Work Expenses","Website Hosting & Domains","Kenya Private Sector Alliance (KEPSA)",137.57,1
"Full tank leo","Transportation","Fuel & Gasoline","Bolt",52.16,1
"DSTV monthly","Utilities","Cable & Streaming Services","Helios Towers Africa",997.61,1
"Chips funga","Food & Dining","Fast Food","Mama Oliech's Restaurant",234.52,1
"Samosa and chai","Business & Work Expenses","Business Travel Expenses","Autodesk Kenya",612.07,1
"Knee rehab session","Health & Fitness","Physical Therapy","CrossFit Kwetu",191.7,1
"Student Loans Repayment purchase","Education & Learning","Student Loans Repayment","Elimu Holdings",170.18,1
"Land rates","Housing & Home Expenses","Property Taxes","Kenpoly Manufacturers Ltd",57.04,1
"SACCO contribution","Financial Expenses","Investment Contributions","Capital Markets Authority",228.64,1
"Bima ya gari","Financial Expenses","Insurance Premiums","Standard Chartered Bank Kenya",489.33,1
"Simu Imeibiwa","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Repairs",10.07,1
"Dawa ya homa","Childcare & Parenting","Children's Health & Medical Care","Brookhouse Early Years",268.28,1
"Toy car","Childcare & Parenting","Kids' Toys & Games","Pre-school Teacher Training Kenya",842.85,1
"Bundle ya data","Leisure & Entertainment","Video Games & Online Gaming","Nation Media Group",500.49,1
"Ksh investment plan","Legal & Professional Services","Financial Advisors","Nyachoti & Company Advocates",78.2,1
"Data bundle tution","Education & Learning","Educational Subscriptions","Kenya Institute of Special Education (KISE)",191.76,1
"Church tithe","Gifts & Donations","Religious Donations","World Food Programme Kenya",378.69,1
"Vitabu kwa shule","Education & Learning","Educational Subscriptions","The Co-operative University of Kenya",456.32,1
"Zumba class","Health & Fitness","Fitness Classes","Nairobi Equator Hospital",643.7,1
"Chama contribution","Financial Expenses","Retirement Savings","Youth Enterprise Development Fund",541.86,1
"Lishe ya watoto","Health & Fitness","Supplements & Vitamins","Lifeline Pharmacy",909.74,1
"Dawa ya paka","Pets & Animal Care","Pet Medications","Kenya Animal Training Academy",753.7,1
"Lotion ya ngozi","Shopping","Beauty & Skincare","Westside Mall Eldoret",449.0,1
"Pet Food & Treats purchase","Pets & Animal Care","Pet Food & Treats","KSPCA Kenya",627.28,1
"KRA payment","Financial Expenses","Taxes","Kenya Deposit Insurance Corporation",255.52,1
"Nganya fare","Leisure & Entertainment","Theater & Performing Arts","East FM Kenya",256.04,1
"Land case retainer","Legal & Professional Services","Lawyer Fees","Kenya Legal & Ethical Issues Network",71.94,1
"Shop rent","Business & Work Expenses","Business Insurance","M-Pesa Business Till",738.21,1
"Expressway pass","Transportation","Road Tolls","Subaru Kenya",878.23,1
"DSTV monthly","Utilities","Cable & Streaming Services","Vivo Energy Kenya",924.52,1
"Comprehensive cover","Financial Expenses","Insurance Premiums","Standard Chartered Bank Kenya",842.83,1
"Kids watched Caro","Childcare & Parenting","Babysitting & Nanny Services","Super Nannies Kenya",176.75,1
"Dogs vaccination","Pets & Animal Care","Veterinary Bills & Pet Insurance","National Museums of Kenya Animal Welfare",468.03,1
"Dawa ya paka","Pets & Animal Care","Pet Medications","Wetlands Pet Store",733.6,1
"Watoto fund","Gifts & Donations","Charitable Donations","Kenya Red Cross Blood Donation Program",776.97,1
"Passport application fee","Travel & Vacation","Visa & Passport Fees","Kibo Slopes Safaris",976.02,1
"Multi-vitamins refill","Health & Fitness","Supplements & Vitamins","Mediheal Group of Hospitals",608.02,1
"DSTV decoder fix","Utilities","Cable & Streaming Services","SEACOM Kenya",28.38,1
"Dawa ya miti","Health & Fitness","Alternative Medicine","Forever Living Products",533.56,1
"Fitness Shukuru","Health & Fitness","Gym Memberships","The Nairobi West Hospital",35.45,1
"School fees","Gifts & Donations","Fundraisers & Contributions","GlobalGiving Kenya",512.65,1
